constituency,1964,1969,1974,1977,1980,1985,1990,1991,1996,2001,2006,2011
Ariankuppam,INC,DMK,INC,DMK,DMK,ADMK,JD,DMK,PMK,IND,PMK,AINRC
Bahour,PF,INC,CPI,JNP,JNP,JNP,JD,IND,TMC(M),PMC,INC,AINRC
Bussy,IND,DMK,ADMK,ADMK,INC,INC,INC,INC,INC,DMK,PMC,
Calapeth,INC,DMK,,,,,,,,,,
Cassicade,INC,INC,NCO,JNP,INC,INC,INC,JD,IND,PMC,PMC,
Couchery,INC,INC,ADMK,ADMK,DMK,INC,INC,IND,INC,INC,ADMK,
Courossucoupom,INC,DMK,,,,,,,,,,
Embalam,INC,INC,INC,ADMK,INC,ADMK,JD,INC,JD,INC,DMK,AINRC
Grand Aldee,INC,DMK,,,,,,,,,,
Indira Nagar,,,,,,,,,,,,AINRC
Kadirgamam,,,,,,,,,,,,AINRC
Kalapet,,,,,,,,,,,,AINRC
Kamaraj Nagar,,,,,,,,,,,,INC
Karaikal North,INC,INC,ADMK,IND,IND,INC,INC,DMK,DMK,DMK,DMK,INC
Karaikal South,IND,DMK,ADMK,ADMK,INC,IND,ADMK,INC,INC,INC,PMC,DMK
Kuruvinatham,IND,INC,ADMK,ADMK,DMK,DMK,DMK,INC,INC,PMC,INC,
Lawspet,,,DMK,ADMK,INC,INC,INC,INC,DMK,INC,INC,AINRC
Mahe,INC,IND,CPM,IND,CPM,INC,INC,INC,INC,INC,INC,INC
Manavely,,,,,,,,,,,,ADMK
Mangalam,,,,,,,,,,,,INC
Mannadipeth,INC,DMK,ADMK,ADMK,DMK,DMK,DMK,INC,TMC(M),ADMK,PMK,AINRC
Mudaliarpet,PF,CPI,NCO,INC,INC,INC,CPI,IND,CPI,DMK,DMK,ADMK
Muthialpet,INC,DMK,ADMK,ADMK,DMK,DMK,DMK,ADMK,ADMK,ADMK,DMK,DMK
Nedungadu,INC,INC,INC,ADMK,INC,INC,INC,INC,DMK,INC,IND,AINRC
Nellithope,PF,CPI,NCO,JNP,DMK,DMK,DMK,DMK,DMK,DMK,ADMK,ADMK
Neravy-Grand Aldee,INC,DMK,ADMK,JNP,DMK,ADMK,ADMK,ADMK,DMK,DMK,DMK,
Neravy T.R. Pattinam,,,,,,,,,,,,IND
Nettapakkam,INC,DMK,INC,INC,JNP,INC,INC,INC,INC,INC,INC,ADMK
Orleampeth,,,ADMK,ADMK,DMK,ADMK,DMK,ADMK,DMK,DMK,DMK,AINRC
Ossudu,INC,INC,ADMK,ADMK,DMK,INC,INC,INC,TMC(M),PMC,IND,AINRC
Oupalam,IND,DMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,TMC(M),ADMK,ADMK,ADMK
Ozhukarai,INC,DMK,ADMK,DMK,DMK,ADMK,DMK,ADMK,ADMK,TMC(M),INC,AINRC
Palloor,INC,INC,INC,IND,INC,INC,INC,INC,INC,INC,INC,
Poudousaram,PF,CPI,,,,,,,,,,
Raj Bhavan,INC,INC,INC,JNP,DMK,INC,DMK,INC,DMK,DMK,DMK,INC
Reddiarpalayam,,,CPI,CPI,INC,INC,CPI,CPI,CPI,BJP,CPI,
Thattanchavady,,,NCO,JNP,JNP,JNP,JD,INC,INC,INC,INC,AINRC
Thirubuvanai,IND,DMK,INC,ADMK,INC,DMK,ADMK,ADMK,ADMK,INC,INC,AINRC
Tirunallar,INC,DMK,DMK,DMK,DMK,IND,IND,DMK,INC,INC,MDMK,AINRC
Villianur,INC,DMK,NCO,ADMK,DMK,INC,INC,INC,TMC(M),TMC(M),IND,INC
Yanam,INC,IND,IND,JNP,IND,INC,DMK,INC,IND,IND,INC,INC
