Name,C,C++,Java,Javascript,Ruby,PHP,Python,ASP,Status
Acton,4,0,8,2,0,4,0,5,red
Adair,8,6,7,4,8,5,5,6,green
Addie,4,7,6,8,9,6,1,4,orange
Addison,10,9,4,1,6,9,5,1,red
Adeline,10,4,8,8,1,4,3,0,orange
Adelyn,10,0,7,10,5,3,6,8,red
Albert,10,6,6,3,7,0,1,7,orange
Axton,3,2,1,9,9,2,3,8,green
Bailey,3,1,9,6,8,6,10,3,red
Baker,7,4,9,8,2,0,8,3,orange
Baldwin,5,7,5,7,4,5,9,7,orange
Balin,7,1,9,2,4,3,8,8,red
Ballard,1,1,1,5,9,1,6,5,green
Balthasar,10,1,1,7,8,9,2,7,orange
Banjo,10,4,8,10,10,2,3,6,orange
Banks,0,9,8,9,2,0,10,7,orange
Barclay,5,8,8,2,5,4,1,1,red
Cissy,8,6,6,4,5,5,6,3,green
Clare,2,9,2,10,0,2,10,1,orange
Clarence,7,5,9,1,0,9,5,6,green
Clarice,7,10,2,4,6,8,10,6,orange
Clarinda,2,4,4,3,4,5,6,5,orange
Clark,7,0,0,5,1,6,4,8,red
Clarmin,10,4,8,6,1,9,3,0,orange
Clay,10,3,4,8,8,8,2,2,green
Clayland,8,0,3,6,8,0,2,7,orange
Clayne,0,1,0,4,7,10,2,0,orange
Clayton,2,10,4,3,1,4,1,8,red
Cleavant,4,2,9,0,4,5,1,7,green
Dexter,9,7,9,4,2,6,4,6,orange
Dexton,4,6,6,2,10,10,7,4,orange
Dick,4,5,7,2,8,7,7,3,red
Digby,4,7,0,6,5,4,2,8,orange
Dimity,9,2,4,0,7,3,0,4,red
Dixon,5,8,10,0,1,10,7,9,red
Doane,10,1,6,3,1,5,8,3,green
Doctor,6,2,6,6,7,7,10,10,orange
Dominy,4,2,8,4,8,4,4,2,orange
Ernie,3,4,3,4,7,0,9,4,red
Errol,1,0,6,10,1,4,7,1,green
Erv,6,5,4,8,8,1,1,6,orange
Ervin,3,5,10,3,4,4,3,9,red
Essery,7,4,9,1,9,4,6,5,red
Eston,7,1,0,5,8,9,7,1,orange
Etta,2,3,6,0,10,6,4,8,red
Ettian,3,10,2,2,4,0,7,6,red
Evans,2,7,7,8,2,0,7,10,red
Evelyn,8,0,3,2,3,3,9,6,orange
Evie,6,1,5,3,8,3,4,3,green
Evynne,10,7,10,9,8,9,10,8,orange
Eydie,10,1,9,5,1,6,8,4,orange
Falcon,3,6,5,4,8,7,8,1,red
Fancy,0,1,8,8,7,8,7,1,orange
Farley,4,6,3,9,8,4,4,3,red
Farrah,8,9,9,8,3,1,4,3,green
Farren,5,1,4,1,2,10,9,6,orange
Favian,10,3,1,6,10,0,10,6,orange
Gayle,3,2,5,5,2,6,6,7,orange
Gaylord,10,1,8,4,9,6,4,4,red
Gelsey,0,7,8,10,3,1,10,6,orange
Gene,5,7,8,9,3,2,5,9,orange
Gent,1,9,0,1,4,7,8,4,green
Gentry,1,9,0,0,0,3,2,7,red
Geoff,8,5,3,5,2,8,8,7,green
Geoffrey,6,9,5,7,7,0,4,10,orange
Hubert,8,6,8,5,9,9,8,9,orange
Hudd,4,8,4,2,9,0,0,7,orange
Hudson,7,2,5,8,2,9,9,2,red
Hunter,8,4,9,2,3,4,1,4,orange
Huntley,0,6,1,4,4,3,4,9,orange
Huxley,1,0,1,2,10,9,1,5,green
Hy,4,5,9,0,1,6,4,8,green
Idella,8,3,3,7,7,3,10,7,red
Iden,9,1,8,8,0,9,7,7,orange
Iggy,1,6,1,9,2,1,4,4,orange
Imogen,1,4,7,4,3,2,7,2,orange
Ina,4,1,4,1,2,3,0,5,red
Isley,7,0,1,0,10,1,1,8,red
Ives,5,5,1,10,6,5,1,8,red
Ivi,4,7,10,10,0,1,2,0,red
Jacinda,7,9,0,7,0,8,8,0,green
Jack,6,7,6,8,6,3,3,6,orange
Jamese,0,1,2,10,1,0,1,1,orange
Jameson,1,1,10,10,7,2,7,4,red
Jamie,7,0,1,9,10,9,1,6,orange
Rogue,7,2,7,2,7,0,2,5,orange
Ronnie,4,10,6,1,5,1,4,7,red
Rook,8,9,8,1,6,9,0,0,orange
Rosemary,6,4,3,3,6,10,4,8,orange
Rosie,9,3,7,7,9,10,9,0,green
Rowena,5,0,10,10,1,9,8,6,orange
Roxanne,9,7,10,10,3,8,10,7,red
Royce,8,6,10,0,7,3,10,5,orange
Rubina,0,0,5,3,5,1,2,2,green
Rudolph,9,1,10,4,10,1,2,8,orange
Rudyard,9,7,3,1,3,4,4,10,red
Rue,10,3,10,3,3,9,4,1,orange
Rumer,7,5,3,3,7,5,4,4,green
Russell,2,8,1,5,2,10,10,3,green
Trish,10,6,6,0,10,2,10,9,red
